id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6389,TLPL,medium_airport,"Hewanorra International Airport",13.7332,-60.952599,14,NA,LC,LC-11,"Vieux Fort",1,TLPL,UVF,,http://www.slaspa.com/a_facilities.php,http://en.wikipedia.org/wiki/Hewanorra_International_Airport,,875,2009-10-20T12:07:01+00:00
6388,TLPC,medium_airport,"George F. L. Charles Airport",14.0202,-60.992901,22,NA,LC,LC-02,Castries,1,TLPC,SLU,,http://www.slaspa.com/a_facilities.php,http://en.wikipedia.org/wiki/George_F._L._Charles_Airport,"Vigie Airport",875,2009-10-20T12:07:01+00:00
